Contraction:avg_deg,Contraction:in_n,Contraction:largest_clique,Contraction:max_deg,Contraction:out_n,Contraction:time,GraphInput:girg_options,GraphInput:graph,GraphInput:m,GraphInput:n,GraphInput:n_gen,GraphInput:option,GraphInput:time,PartLargestBag:max_partition_num,PartLargestBag:max_weight,PartLargestBag:mean_partition_num,PartLargestBag:median_partition_num,PartLargestBag:partition_option,PartLargestBag:time,Partition:AssignVertices:option,Partition:AssignVertices:time,Partition:MaximalIS:option,Partition:MaximalIS:size,Partition:MaximalIS:time,Partition:amount,Partition:average,Partition:hs_size,Partition:largest,Partition:median,Partition:num_branching,Partition:num_dead_end,Partition:num_lb2_reductions,Partition:num_lb_reductions,Partition:num_leaves,Partition:num_long_paths,Partition:num_sw_reductions,Partition:option,Partition:product_weight,Partition:smallest,Partition:time,PartitionBags:max_partition_num,PartitionBags:max_weight,PartitionBags:mean_partition_num,PartitionBags:median_partition_num,PartitionBags:partition_option,PartitionBags:time,Treewidth:clique_number,Treewidth:num_bags,Treewidth:option,Treewidth:time,Treewidth:treewidth,WeightedTreewidth:elimination_width,WeightedTreewidth:option,WeightedTreewidth:time,WeightedTreewidth:time_elimination_game,WeightedTreewidth:treewidth,option,time
,,,,,,,DD_g93,1574,499,,ReadEL,0.019626,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,16.92481250360578,3.3793103448275863,3.0,Partition(FastLargestClique),0.061157,6,377,HTD,0.100692,20,,,,,,PartitionTreedec,0.181737
,,,,,,,DD_g940,392,153,,ReadEL,0.003098,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.584962500721156,2.4745762711864407,2.0,Partition(FastLargestClique),0.017773,5,118,HTD,0.005364,7,,,,,,PartitionTreedec,0.026449
,,,,,,,DD_g941,375,162,,ReadEL,0.028032,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.584962500721156,2.75,2.0,Partition(FastLargestClique),0.020807,5,132,HTD,0.008639,10,,,,,,PartitionTreedec,0.057696
,,,,,,,DD_g942,745,287,,ReadEL,0.003393,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.584962500721156,2.760869565217391,2.0,Partition(FastLargestClique),0.035371,5,230,HTD,0.010749,10,,,,,,PartitionTreedec,0.049727
,,,,,,,DD_g943,110,53,,ReadEL,0.016273,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.0,2.0256410256410255,2.0,Partition(FastLargestClique),0.004778,4,39,HTD,0.006199,5,,,,,,PartitionTreedec,0.027464
,,,,,,,DD_g944,209,98,,ReadEL,0.006002,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.169925001442312,2.825,2.0,Partition(FastLargestClique),0.012711,4,80,HTD,0.013486,8,,,,,,PartitionTreedec,0.032406
,,,,,,,DD_g945,783,321,,ReadEL,0.003013,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.754887502163468,3.2062256809338523,3.0,Partition(FastLargestClique),0.042914,5,257,HTD,0.00805,12,,,,,,PartitionTreedec,0.054198
,,,,,,,DD_g946,863,369,,ReadEL,0.002298,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.169925001442312,2.799342105263158,2.0,Partition(FastLargestClique),0.106853,5,304,HTD,0.008414,11,,,,,,PartitionTreedec,0.117787
,,,,,,,DD_g948,221,98,,ReadEL,0.00368,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.754887502163468,2.691358024691358,2.0,Partition(FastLargestClique),0.012802,5,81,HTD,0.01098,9,,,,,,PartitionTreedec,0.027663
,,,,,,,DD_g949,352,147,,ReadEL,0.003851,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.339850002884624,2.8290598290598292,2.0,Partition(FastLargestClique),0.018607,5,117,HTD,0.00744,12,,,,,,PartitionTreedec,0.030116
