n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
676,seed=701 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,223,568,676,223,223,3.031390134529148,13,2,1,24,0.063832,0.005901,0.000852,0.001367,0.055712
687,seed=702 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,231,583,687,231,231,2.9740259740259742,12,2,1,31,0.071374,0.005525,0.000813,0.001437,0.063599
596,seed=703 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,196,504,596,196,196,3.0408163265306123,11,2.0,1,18,0.05124,0.003797,0.000676,0.001039,0.045728
689,seed=704 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,230,586,689,230,230,2.9956521739130433,11,2.0,1,26,0.074734,0.005429,0.000782,0.001321,0.067202
675,seed=705 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,227,578,675,227,227,2.973568281938326,13,2,1,30,0.057059,0.004603,0.000779,0.001229,0.050448
689,seed=706 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,235,597,689,235,235,2.931914893617021,14,2,1,31,0.109634,0.00752,0.000919,0.002015,0.09918
676,seed=707 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,231,586,676,231,231,2.9264069264069263,13,2,1,27,0.073225,0.005293,0.000776,0.00139,0.065766
688,seed=708 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,231,583,688,231,231,2.9783549783549783,12,2,1,27,0.077711,0.006156,0.000837,0.00146,0.069258
659,seed=709 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,214,545,659,214,214,3.0794392523364484,12,2.0,1,20,0.059961,0.00454,0.000839,0.001166,0.053416
687,seed=699 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,240,604,687,240,240,2.8625,11,2.0,1,25,0.076354,0.005738,0.000875,0.001418,0.068323
685,seed=700 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,239,599,685,239,239,2.8661087866108788,13,2,1,22,0.062762,0.004724,0.000773,0.001219,0.056046
675,seed=701 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,227,574,675,227,227,2.973568281938326,13,2,1,23,0.078937,0.006769,0.000825,0.001389,0.069954
687,seed=702 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,221,565,687,221,221,3.1085972850678734,12,2,1,25,0.07482,0.00597,0.000781,0.001439,0.06663
628,seed=703 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,216,547,628,216,216,2.9074074074074074,11,2.0,1,22,0.056683,0.004609,0.000709,0.00108,0.050285
689,seed=704 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,227,583,689,227,227,3.0352422907488985,11,2,1,27,0.077812,0.006102,0.000805,0.00141,0.069495
677,seed=705 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,226,577,677,226,226,2.995575221238938,12,2.0,1,27,0.06505,0.005091,0.000772,0.001254,0.057933
688,seed=706 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,238,600,688,238,238,2.8907563025210083,13,2.0,1,23,0.082552,0.0082,0.000913,0.001611,0.071828
674,seed=707 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,231,588,674,231,231,2.9177489177489178,13,2,1,23,0.077093,0.005836,0.000803,0.001388,0.069066
687,seed=708 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,233,588,687,233,233,2.948497854077253,12,2,1,31,0.084535,0.006936,0.000851,0.001489,0.075259
686,seed=709 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,234,594,686,234,234,2.9316239316239314,11,2.0,1,26,0.069582,0.005331,0.000783,0.001413,0.062055
689,seed=699 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,251,621,689,251,251,2.745019920318725,10,2,1,25,0.076012,0.006917,0.000822,0.001548,0.066725
682,seed=700 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,244,608,682,244,244,2.7950819672131146,11,2.0,1,20,0.068112,0.006018,0.000781,0.001278,0.060035
684,seed=701 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,234,586,684,234,234,2.923076923076923,12,2.0,1,36,0.096975,0.00864,0.000932,0.001736,0.085667
688,seed=702 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,245,609,688,245,245,2.8081632653061224,11,2,1,33,0.102375,0.007657,0.000831,0.001681,0.092206
684,seed=703 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,244,610,684,244,244,2.80327868852459,11,2.0,1,24,0.057089,0.005553,0.000777,0.001239,0.04952
689,seed=704 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,244,616,689,244,244,2.8237704918032787,11,2.0,1,33,0.098744,0.008075,0.000957,0.00171,0.088002
682,seed=705 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,242,605,682,242,242,2.8181818181818183,12,2.0,1,34,0.073378,0.006416,0.00079,0.001449,0.064723
689,seed=706 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,248,620,689,248,248,2.778225806451613,12,2.0,1,38,0.127197,0.01055,0.001009,0.002129,0.113509
686,seed=707 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,245,611,686,245,245,2.8,11,2,1,27,0.084417,0.007464,0.000808,0.001465,0.07468
688,seed=708 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,245,605,688,245,245,2.8081632653061224,11,2,1,38,0.120543,0.008639,0.000879,0.001846,0.109179
683,seed=709 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,242,606,683,242,242,2.822314049586777,11,2.0,1,26,0.079316,0.006549,0.000807,0.001432,0.070528
503,seed=906 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,353,741,503,353,353,1.424929178470255,14,1,1,15,0.0585,0.002614,0.000736,0.001113,0.054037
471,seed=907 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,340,706,471,340,340,1.3852941176470588,11,1.0,1,14,0.044646,0.002268,0.000767,0.001126,0.040485
538,seed=908 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,388,811,538,388,388,1.3865979381443299,10,1.0,1,12,0.074511,0.002952,0.00085,0.001338,0.069371
520,seed=909 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,368,768,520,368,368,1.4130434782608696,10,1.0,1,12,0.067577,0.002926,0.00075,0.001312,0.062589
553,seed=910 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,402,830,553,402,402,1.3756218905472637,12,1.0,1,12,0.064883,0.003076,0.000803,0.001237,0.059767
353,seed=911 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,241,509,353,241,241,1.4647302904564314,7,1,1,12,0.029653,0.001509,0.000487,0.000718,0.026939
348,seed=912 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,233,492,348,233,233,1.4935622317596566,8,1,1,12,0.037146,0.001565,0.000494,0.000749,0.034338
454,seed=913 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,313,657,454,313,313,1.450479233226837,7,1,1,12,0.042867,0.002266,0.000655,0.001001,0.038945
588,seed=914 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,412,858,588,412,412,1.4271844660194175,13,1.0,1,14,0.073446,0.00327,0.000884,0.001485,0.067807
562,seed=915 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,401,833,562,401,401,1.401496259351621,11,1,1,15,0.068749,0.003363,0.000857,0.001232,0.063297
420,seed=916 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,284,595,420,284,284,1.4788732394366197,7,1.0,1,12,0.042836,0.00188,0.000593,0.00089,0.039473
504,seed=906 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,355,742,504,355,355,1.419718309859155,13,1,1,15,0.056022,0.002624,0.00073,0.001135,0.051533
475,seed=907 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,340,707,475,340,340,1.3970588235294117,11,1.0,1,11,0.044458,0.002369,0.000722,0.001037,0.04033
548,seed=908 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,397,827,548,397,397,1.380352644836272,10,1,1,15,0.065923,0.003008,0.000877,0.001331,0.060707
537,seed=909 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,379,787,537,379,379,1.4168865435356202,11,1,1,12,0.065654,0.002993,0.000816,0.001252,0.060593
546,seed=910 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,406,836,546,406,406,1.3448275862068966,12,1.0,1,12,0.07196,0.003096,0.000818,0.001261,0.066785
384,seed=911 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,261,552,384,261,261,1.471264367816092,7,1,1,13,0.036804,0.001673,0.000541,0.000772,0.033818
355,seed=912 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,237,500,355,237,237,1.4978902953586497,7,1,1,11,0.029489,0.00159,0.000496,0.000742,0.026661
468,seed=913 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,323,677,468,323,323,1.4489164086687307,7,1,1,12,0.048934,0.002245,0.000651,0.00101,0.045028
585,seed=914 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,407,848,585,407,407,1.4373464373464373,13,1,1,12,0.064588,0.003324,0.000911,0.001393,0.05896
579,seed=915 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,418,864,579,418,418,1.3851674641148326,11,1.0,1,12,0.063232,0.003548,0.000873,0.001258,0.057553
416,seed=916 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,279,586,416,279,279,1.4910394265232976,7,1,1,15,0.039507,0.001961,0.000593,0.000863,0.03609
530,seed=906 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,370,773,530,370,370,1.4324324324324325,12,1.0,1,15,0.06098,0.002788,0.000766,0.001202,0.056224
477,seed=907 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,341,712,477,341,341,1.3988269794721409,9,1,1,15,0.053823,0.002472,0.000665,0.001079,0.049607
552,seed=908 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,403,837,552,403,403,1.369727047146402,10,1,1,12,0.070145,0.002968,0.000922,0.00132,0.064935
528,seed=909 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,369,774,528,369,369,1.4308943089430894,10,1,1,14,0.061333,0.003041,0.000808,0.001219,0.056265
573,seed=910 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,429,884,573,429,429,1.3356643356643356,11,1,1,12,0.067956,0.003205,0.000927,0.001386,0.062438
384,seed=911 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,253,539,384,253,253,1.517786561264822,7,1,1,11,0.031686,0.001791,0.000538,0.000755,0.028602
356,seed=912 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,240,506,356,240,240,1.4833333333333334,6,1.0,1,14,0.03587,0.001702,0.000496,0.000731,0.032941
459,seed=913 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,317,664,459,317,317,1.4479495268138802,7,1,1,12,0.049249,0.002407,0.000642,0.000993,0.045207
582,seed=914 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,413,855,582,413,413,1.4092009685230025,13,1,1,12,0.07634,0.00345,0.000847,0.001561,0.070482
593,seed=915 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,425,884,593,425,425,1.3952941176470588,11,1,1,12,0.074552,0.003633,0.00089,0.001426,0.068603
438,seed=916 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,294,620,438,294,294,1.489795918367347,7,1.0,1,12,0.043488,0.002037,0.000609,0.000888,0.039954
880,seed=906 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,388,909,880,388,388,2.268041237113402,17,2.0,1,19,0.105902,0.006295,0.001168,0.00212,0.096319
